,,Ladder score,Social support,,,,,,,,,,,,,,,,,,,,,,
,,x,y,,,xy,x2,y2,,(x - x?),(y - y? ),(x - x?)(y - y? ),(x - x?)2,(y - y? )2,,,,,,,,,,,
,1.25834,,-0.08034,0.006454516,-0.17554,0.030814292,-0.007648368,,0.121234643,0.014697839,0.08034,0.006454516,,,,,,,,,,,,,
,1.25604,,-0.11004,0.012108802,-0.0297,0.00088209,0.008840614,,0.118934643,0.014145449,0.11004,0.012108802,,,,,,,,,,,,,
,1.25489,,0.01211,0.000146652,0.12215,0.014920623,-0.001332584,,0.117784643,0.013873222,-0.01211,0.000146652,,,,,,,,,,,,,
,1.2519,,0.1161,0.01347921,0.10399,0.01081392,0.001405971,,0.114794643,0.01317781,-0.1161,0.01347921,,,,,,,,,,,,,
,1.24891,,0.27909,0.077891228,0.16299,0.02656574,0.032402349,,0.111804643,0.012500278,-0.27909,0.077891228,,,,,,,,,,,,,
,1.23971,,0.16829,0.028321524,-0.1108,0.01227664,0.046968056,,0.102604643,0.010527713,-0.16829,0.028321524,,,,,,,,,,,,,
,1.23948,,0.10752,0.01156055,-0.06077,0.003692993,0.018094541,,0.102374643,0.010480568,-0.10752,0.01156055,,,,,,,,,,,,,
,1.23925,,-0.09625,0.009264062,-0.20377,0.041522213,-0.0103488,,0.102144643,0.010433528,0.09625,0.009264062,,,,,,,,,,,,,
,1.23879,,0.00021,4.41E-08,0.09646,0.009304532,-2.02E-05,,0.101684643,0.010339767,-0.00021,4.41E-08,,,,,,,,,,,,,
,1.23764,,-0.20264,0.04106297,-0.20285,0.041148123,-4.26E-05,,0.100534643,0.010107214,0.20264,0.04106297,,,,,,,,,,,,,
,1.23166,,0.21334,0.045513956,0.41598,0.17303936,-0.043231218,,0.094554643,0.00894058,-0.21334,0.045513956,,,,,,,,,,,,,
,1.22982,,0.04618,0.002132592,-0.16716,0.027942466,0.009852041,,0.092714643,0.008596005,-0.04618,0.002132592,,,,,,,,,,,,,
,1.21671,,0.10129,0.010259664,0.05511,0.003037112,0.004677572,,0.079604643,0.006336899,-0.10129,0.010259664,,,,,,,,,,,,,
,1.21418,,-0.11418,0.013037072,-0.21547,0.046427321,-0.011565292,,0.077074643,0.005940501,0.11418,0.013037072,,,,,,,,,,,,,
,1.20866,,0.11534,0.013303316,0.22952,0.05267943,-0.013169521,,0.071554643,0.005120067,-0.11534,0.013303316,,,,,,,,,,,,,
,1.20843,,-0.02843,0.000808265,-0.14377,0.020669813,-0.003279116,,0.071324643,0.005087205,0.02843,0.000808265,,,,,,,,,,,,,
,1.20429,,0.06771,0.004584644,0.09614,0.0092429,-0.001924995,,0.067184643,0.004513776,-0.06771,0.004584644,,,,,,,,,,,,,
,1.20268,,0.15532,0.024124302,0.08761,0.007675512,0.010516717,,0.065574643,0.004300034,-0.15532,0.024124302,,,,,,,,,,,,,
,1.20268,,0.07432,0.005523462,-0.081,0.006561,0.011543382,,0.065574643,0.004300034,-0.07432,0.005523462,,,,,,,,,,,,,
,1.19555,,0.15545,0.024164703,0.08113,0.006582077,0.011553044,,0.058444643,0.003415776,-0.15545,0.024164703,,,,,,,,,,,,,
,1.19532,,-0.01632,0.000266342,-0.17177,0.029504933,-0.002536944,,0.058214643,0.003388945,0.01632,0.000266342,,,,,,,,,,,,,
,1.18175,,-0.03075,0.000945562,-0.01443,0.000208225,0.00050184,,0.044644643,0.001993144,0.03075,0.000945562,,,,,,,,,,,,,
,1.17922,,0.29778,0.088672928,0.32853,0.107931961,-0.009156735,,0.042114643,0.001773643,-0.29778,0.088672928,,,,,,,,,,,,,
,1.17761,,0.14039,0.019709352,-0.15739,0.024771612,0.041805334,,0.040504643,0.001640626,-0.14039,0.019709352,,,,,,,,,,,,,
,1.17508,,0.33592,0.112842246,0.19553,0.038231981,0.047159809,,0.037974643,0.001442074,-0.33592,0.112842246,,,,,,,,,,,,,
,1.17485,,0.06615,0.004375822,-0.26977,0.072775853,0.022221108,,0.037744643,0.001424658,-0.06615,0.004375822,,,,,,,,,,,,,
,1.15461,,0.16639,0.027685632,0.10024,0.010048058,0.011006699,,0.017504643,0.000306413,-0.16639,0.027685632,,,,,,,,,,,,,
,1.14564,,0.03836,0.00147149,-0.12803,0.016391681,0.00638272,,0.008534643,7.28E-05,-0.03836,0.00147149,,,,,,,,,,,,,
